                 l            r(l,1)            r(l,2)            r(l,3)                Vp
    1.380000000E+02    6.443992257E+01    9.852509946E+00    1.604839683E+02    2.041607998E-05
    1.390000000E+02    4.599851668E+01    5.175955892E+01    1.803595543E+02    6.040467000E-06
    1.400000000E+02    8.471609354E+01    6.477561593E+01    2.251702100E+01    2.758148375E+00
    1.410000000E+02    1.823368818E+01    7.971087098E+01    7.909126878E+01    6.387867726E-02
    1.420000000E+02    1.208110973E+01    2.763176858E+01    3.168732643E+02    5.302247013E-17
    1.430000000E+02    6.468138695E+01    9.162699580E+01    2.058290958E+02    4.697091698E-08
    1.440000000E+02    3.625890911E+01    7.019730806E+01    3.396635771E+02    1.374059726E-18
    1.450000000E+02    8.640766740E+01    7.483121157E+01    8.326652646E+01    4.358039173E-02
    1.460000000E+02    5.608317852E+01    9.557126164E+01    1.127217293E+02    1.742152326E-03
    1.470000000E+02    8.841534257E+01    6.270854473E+01    9.869896770E+01    1.415912148E-02
    1.480000000E+02    4.772070348E+01    6.653622985E+01    8.885679394E+00    7.502214066E+00
    1.490000000E+02    9.566015601E+01    8.243999630E+00    1.979059219E+02    1.950080621E-08
    1.500000000E+02    7.560847998E+01    4.790810347E+01    1.441783071E+02    3.618512981E-04
    1.510000000E+02    9.990953803E+01    6.595067382E+01    2.221882582E+02    1.723647816E-10
    1.520000000E+02    8.496031165E+01    2.150854468E+01    1.700830340E+02    6.880145747E-06
    1.530000000E+02    8.600441217E+01    9.600028396E+01    2.468415022E+02    1.812197805E-11
    1.540000000E+02    3.435333967E+01    7.078990340E+00    1.962699771E+02    1.149752464E-07
    1.550000000E+02    4.395934641E+01    4.568401277E+01    3.819513321E+01    2.221606208E+00
    1.560000000E+02    2.325169891E+01    1.247716043E+00    3.427854538E+02    1.475858477E-20
    1.570000000E+02    6.236847043E+01    7.797690034E+01    3.416839838E+02    9.080997088E-19
    1.580000000E+02    6.720101833E+01    7.153416276E+01    5.853742957E+01    5.184175328E-01
    1.590000000E+02    6.338289380E+01    2.008950412E+01    1.930616856E+02    5.623125562E-07
    1.600000000E+02    2.839848697E+01    3.194192350E+01    1.770861626E+02    5.765887609E-06
    1.610000000E+02    3.071836233E+01    4.776688516E+01    2.332914352E+02    1.756463197E-09
    1.620000000E+02    3.976679444E+01    6.704078317E+01    2.177398443E+02    2.331351523E-08
    1.630000000E+02    4.791366458E+01    1.320268661E+01    1.406442404E+02    2.855200674E-04
    1.640000000E+02    9.046392143E+00    4.011618197E+01    2.907729387E+02    1.283108488E-14
    1.650000000E+02    8.008049726E+01    5.402629375E+01    1.030949116E+02    1.660939183E-02
    1.660000000E+02    1.132951826E+01    1.311948746E+01    4.255506992E+01    3.309612714E-01
    1.670000000E+02    7.387753725E+01    6.493602991E+01    4.234555066E+01    1.323271750E+00
    1.680000000E+02    3.013832271E+01    9.357954562E+00    3.220981121E+02    1.394115603E-17
    1.690000000E+02    9.700522423E+01    6.594606042E+01    1.595373273E+02    7.988808521E-06
    1.700000000E+02    6.817687154E+01    4.840368927E+01    2.740381002E+02    1.496581042E-12
    1.710000000E+02    4.082161784E+01    3.393701613E+01    3.885120630E+02    8.504140349E-24
    1.720000000E+02    2.968694568E+01    8.778609633E+01    2.214295387E+02    5.008486353E-09
    1.730000000E+02    5.681496263E+01    1.748602986E+01    1.247076035E+02    1.910014438E-03
    1.740000000E+02    4.320259392E+01    1.085456684E+01    6.341387033E+01    1.839574285E-01
    1.750000000E+02    6.031704545E+01    5.184413195E+01    1.263103843E+02    3.144871545E-03
    1.760000000E+02    2.126083374E+01    4.902446270E+01    3.177303314E+02    1.181633702E-16
    1.770000000E+02    8.472796679E+01    3.038837314E+01    2.008845359E+01    3.076379101E+00
    1.780000000E+02    1.034149304E+01    8.960803151E+01    1.509729981E+02    2.464576008E-05
    1.790000000E+02    8.082324862E+01    7.730320692E+01    2.239189625E+02    4.717838627E-09
